Name;brewery;beerstyle;beertypes;nationality;grad
abc stout;asia pacific;STOUT/PORTER;FOREIGN;SING;8.1
baltika porter;baltika;STOUT/PORTER;IMPERIAL;POL;7
bavaria lager;bavaria;LAGER - PALE (CHIARA);;BRA;
birtang pils;birtang;LAGER - PALE (CHIARA);PILSEN;BIR;5
brahma choppp;brahma;LAGER - PALE (CHIARA);;BRA;4
budweiser budvar;Budweiser Budvar Ceske Budejovice;LAGER - PALE (CHIARA);;CEC;5
cass fresh;oriental brewery;LAGER - PALE (CHIARA);;;4.5
castlemaine xxxx;castlemaine;LAGER - PALE (CHIARA);;AUS;4.8
chung hua;zhejiang qianjiang;LAGER - PALE (CHIARA);;CINA;
cisk lager;farsons;LAGER - PALE (CHIARA);;MALTA;
cisk lager;farsons;LAGER - PALE (CHIARA);;MALTA;4.2
cobra;cobra;LAGER - PALE (CHIARA);;INDIA;5
cooper's best extra stout;cooper's;STOUT/PORTER;FOREIGN;AUS;6.3
cooper's sparkling ale;cooper's;ALE - BRITISH STYLE etc;;AUS;5.8
cristal;backus y johnston;LAGER - PALE (CHIARA);;PERU;5
crni baron;union;LAGER - DARK (SCURA);DUNKEL;SLO;5.3
cusquena;cervesur;LAGER - PALE (CHIARA);;PERU;5
debowe mocne;kompania piwowarska;STRONG LAGER;;POL;7
extra strong;s. michael;STRONG LAGER;;NOR;6
farsons blue label;farsons;ALE - BRITISH STYLE etc;MILD;MALTA;3.3
farsons strong ale;farsons;ALE - BRITISH STYLE etc;;MALTA;6.2
foster's lager;foster's - courage;LAGER - PALE (CHIARA);;AUS;4.5
gammel brygd 1992;falken;LAGER - DARK (SCURA);;SWE;4.5
gold horn;lasko;LAGER - PALE (CHIARA);;SLO;
gull;egis;LAGER - PALE (CHIARA);LIGHT;ISL;2.2
hansa;hansa;LAGER - PALE (CHIARA);;NOR;4.7
hinano;brasserie de tahiti;LAGER - PALE (CHIARA);;TAH;4.9
hopleaf extra;farsons;ALE - BRITISH STYLE etc;STRONG BITTER/PALE;MALTA;5
hopleaf pale ale;farsons;ALE - BRITISH STYLE etc;BITTER/PALE;MALTA;3.8
imperial;central de cervejas;LAGER - PALE (CHIARA);;POR;5.1
jule ol;spendrups;LAGER - DARK (SCURA);;SWE;5.3
kalyani;united breweries;LAGER - PALE (CHIARA);;INDIA;4.8
karhu;sinebrychoff;LAGER - PALE (CHIARA);;FIN;4.6
kelt original stout;staropramen;STOUT/PORTER;DRY;CEC;4.8
kingfisher;united breweries;LAGER - PALE (CHIARA);;INDIA;5
lacto milk stout;farsons;STOUT/PORTER;SWEET;MALTA;3.8
lapin kulta;lapin kulta;LAGER - PALE (CHIARA);;FIN;5.2
lapin kulta 7;lapin kulta;STRONG LAGER;;FIN;7
lasko;lasko;LAGER - PALE (CHIARA);;SLO;
lech premium;kompania piwowarska;LAGER - PALE (CHIARA);;POL;5.7
lion stout;ceylon;STOUT/PORTER;FOREIGN;SHK;8
maccabee;tempo;LAGER - PALE (CHIARA);;ISR;4.9
norrlands gund;spendrups;LAGER - PALE (CHIARA);;SWE;5.3
okocim lager;okocim;LAGER - PALE (CHIARA);;POL;5.5
old gold;spendrups;LAGER - PALE (CHIARA);;SWE;
pernstejn dark;pernstejn;LAGER - AMBER (ROSSA);;CEC;5
pernstejn porter;pernstejn;STOUT/PORTER;IMPERIAL;CEC;8
pilsner urquell;plzn (pilsen);LAGER - PALE (CHIARA);PILSEN;CEC;5
port royal export;cerveceria hondurena;LAGER - PALE (CHIARA);;HON;
premium pivo;union;LAGER - PALE (CHIARA);;SLO;
president;cerv. national dominicana;LAGER - PALE (CHIARA);;DOM;
quilmes bock;quilmes;LAGER - DARK (SCURA);;ARG;6.3
red drak;starobno;LAGER - AMBER (ROSSA);;CEC;6
ringnes pils;ringnes;LAGER - PALE (CHIARA);PILSEN;NOR;4.7
s. miguel;s. miguel espana;LAGER - PALE (CHIARA);;FIL;4.8
sagres;central de cervejas;LAGER - PALE (CHIARA);;POR;
salva vida;cerveceria hondurena;LAGER - PALE (CHIARA);;HON;
seybrew lager;seychelles;LAGER - PALE (CHIARA);;SEY;4.9
shangai;shangai breweries;LAGER - PALE (CHIARA);;CINA;4
shinga beer;boon rawd;LAGER - PALE (CHIARA);;THAI;6
smile;union;LAGER - PALE (CHIARA);;SLO;5
spendrup's export;spendrups;LAGER - PALE (CHIARA);;SWE;5
spendrup's original;spendrups;LAGER - PALE (CHIARA);;SWE;5.2
staropramen;staropramen;LAGER - PALE (CHIARA);;CEC;5
staropramen cerny;staropramen;LAGER - DARK (SCURA);;CEC;4.4
staropramen granat;staropramen;LAGER - AMBER (ROSSA);;CEC;4.8
super bock;unicer;LAGER - PALE (CHIARA);;POR;5.8
temno lasko;lasko;LAGER - DARK (SCURA);;SLO;
tiger;asia pacific;LAGER - PALE (CHIARA);;SING;5
tsingtao pils;tsingtao;LAGER - PALE (CHIARA);PILSEN;CINA;
tusker premium lager;kenya;LAGER - PALE (CHIARA);;KEN;5
union amber;union;LAGER - AMBER (ROSSA);;SLO;5.5
union svetlo pivo;union;LAGER - PALE (CHIARA);;SLO;
viru;a. le coq;LAGER - PALE (CHIARA);;EST;5.0
vita malt;general investment company;LAGER - PALE (CHIARA);;HKJ;0.0
wisby pils;spendrups;LAGER - PALE (CHIARA);PILSEN;SWE;5
xxx lager;xxx;LAGER - PALE (CHIARA);;INDIA;
yanjing premium;yanjing;LAGER - PALE (CHIARA);;CINA;4.5
zhiguli beer;zhiguli;LAGER - PALE (CHIARA);;URSS;4.2
zhong hua;zhejiang qianjiang;LAGER - PALE (CHIARA);;CINA;5
zlatorog club;lasko;LAGER - PALE (CHIARA);;SLO;5
zlatorog pivo;lasko;LAGER - PALE (CHIARA);;SLO;
zywiec porter;zyviec;STOUT/PORTER;IMPERIAL;POL;9.3
